opening,trap_name,clean_moves,commented_moves,metadata
Opening (C20),Opening (C20),1. e4 e5 2. Ne2 Bc5 3. f4 Qf6 4. c3 Nc6 5. g3 Nh6 6. Bg2 Ng4 7. Rf1 7... Nxh2 8. fxe5 8... Qxf1+ 9. Bxf1 Nf3#,1. e4 e5 2. Ne2 Bc5 3. f4 Qf6 4. c3 Nc6 5. g3 Nh6 6. Bg2 Ng4 7. Rf1 (7. d4) 7... Nxh2 8. fxe5 (8. Rh1) 8... Qxf1+ 9. Bxf1 Nf3#,"Manko - Jankowitz, Corr. 1900"
Opening (C20),Opening (C20),1. e4 e5 2. Ne2 d5 3. exd5 Qxd5 4. Nbc3 Qc6 5. Ng3 g6 6. Bb5,1. e4 e5 2. Ne2 d5 3. exd5 Qxd5 4. Nbc3 Qc6 5. Ng3 g6 $4 6. Bb5,"Wall, Bill - Nimoy, Internet 1997"
Opening (C20),Opening (C20),1. e4 e5 2. Ne2 d5 3. exd5 Qxd5 4. Nbc3 Qa5 5. d4 Nc6 6. d5 Nb4 7. Bd2 7... Bf5 8. Rc1 8... Bxc2 9. Rxc2 Nd3#,1. e4 e5 2. Ne2 d5 3. exd5 Qxd5 4. Nbc3 Qa5 5. d4 Nc6 6. d5 Nb4 7. Bd2 (7. Ng3) 7... Bf5 8. Rc1 (8. Ne4 Bxe4 9. a3) 8... Bxc2 9. Rxc2 Nd3#,"NN - Canal, Europe 1935"
Opening (C20),Opening (C20),1. e4 e5 2. Ne2 Nf6 3. f4 exf4 4. Nxf4 Nxe4 5. Qe2 Qe7 6. Nd5 Qe5 7. Nbc3 c6 8. d4 Qf5 9. Nxe4,1. e4 e5 2. Ne2 Nf6 3. f4 exf4 4. Nxf4 Nxe4 (4... Nc6) 5. Qe2 Qe7 (5... Qh4+ 6. g3 Qe7 7. Nd5) 6. Nd5 Qe5 7. Nbc3 c6 8. d4 Qf5 9. Nxe4,"Seibot - Luetz, St. Petersburg 1902"
Opening (C20),Opening (C20),1. e4 e5 2. Ne2 Nf6 3. f4 Nxe4 4. d3 Nc5 5. fxe5 Nc6 6. d4 6... Qh4+ 7. g3 7... Qe4 8. Rg1 Nxd4 9. Qxd4 Qxc2 10. Nf4 Qxc1+ 11. Ke2 Nb3 12. axb3 Bc5,1. e4 e5 2. Ne2 Nf6 3. f4 Nxe4 4. d3 Nc5 5. fxe5 Nc6 6. d4 (6. Bf4) 6... Qh4+ 7. g3 (7. Ng3) 7... Qe4 8. Rg1 Nxd4 9. Qxd4 Qxc2 10. Nf4 Qxc1+ 11. Ke2 Nb3 12. axb3 Bc5,"Mouillaux - Matisson, Corr. 1985"
Opening (B02),Opening (B02),1. e4 Nf6 2. Nc3 d6 3. Bc4 Nxe4 4. Bxf7+ Kxf7 5. Nxe4 e5 6. Qf3+ Kg8 7. Ng5 Qf6 8. Qb3+,1. e4 Nf6 2. Nc3 d6 3. Bc4 Nxe4 4. Bxf7+ Kxf7 5. Nxe4 e5 6. Qf3+ Kg8 $4 (6... Ke8) 7. Ng5 Qf6 8. Qb3+,"Krejcik - Gottlieb, Germany 1922"
Opening (B02),Opening (B02),1. e4 Nf6 2. Nc3 d5 3. e5 d4 4. Nb1 Ne4 5. c3 c5 6. d3,1. e4 Nf6 2. Nc3 d5 3. e5 d4 4. Nb1 Ne4 5. c3 c5 (5... Nc6) 6. d3,"Iskov - Woge_Nielsem, Copenhagen 1989"
Opening (B02),Opening (B02),1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6 fxe6 5. d4 c5 6. Nf3 Nc6 7. dxc5 Nxc5 8. Bb5 g6 9. Qd4,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6 fxe6 5. d4 c5 6. Nf3 Nc6 7. dxc5 Nxc5 8. Bb5 g6 $2 (8... Nd7) 9. Qd4,"Russ - Zeh, Corr. 1974"
Opening (B02),Opening (B02),1. e4 Nf6 2. Nc3 d5 3. exd5 Nxd5 4. Bc4 Nb6 5. Bb3 Nc6 6. Nf3 Bg4 7. Bxf7+ Kd7 8. Qe2 e6 9. h3 Bxf3 10. Qxe6#,1. e4 Nf6 2. Nc3 d5 3. exd5 Nxd5 4. Bc4 Nb6 5. Bb3 Nc6 6. Nf3 Bg4 (6... e6) 7. Bxf7+ Kd7 8. Qe2 e6 9. h3 Bxf3 $4 (9... Bf5) 10. Qxe6#,"Quinteros - Goossens, Europe 1978"
Opening (B02),Opening (B02),1. e4 Nf6 2. Nc3 d5 3. exd5 Nxd5 4. Bc4 Be6 5. Qf3 c6 6. Nge2 g6 7. Nd4 Nxc3 8. Nxe6 fxe6 9. Qxc3 Rg8 10. Qb3 {or 10.Bxe6},1. e4 Nf6 2. Nc3 d5 3. exd5 Nxd5 4. Bc4 Be6 5. Qf3 c6 6. Nge2 g6 7. Nd4 Nxc3 $2 (7... Qd7) 8. Nxe6 fxe6 9. Qxc3 Rg8 10. Qb3 {or 10.Bxe6},"Stock - Rades, Germany 1993"
