opening,trap_name,clean_moves,commented_moves,metadata
Alapin’s Opening,Alapin’s Opening,1.e4 e5 2.Ne2 Bc5 3.f4 Qf6 4.c3 Nc6 5.g3 Nh6 6.Bg2 Ng4 7.Rf1 Nxh2 8.fxe5 Qxf1+ 9.Bxf1 Nf3#,1.e4 e5 2.Ne2 Bc5 3.f4 Qf6 4.c3 Nc6 5.g3 Nh6 6.Bg2 Ng4 [threatening 7…Bf2 mate] 7.Rf1? [White must play 8.d4] 7…Nxh2 8.fxe5?? [White must return the Rook to h1] 8…Qxf1+! 9.Bxf1 Nf3 mate,"Manko - Jankowitz, Postal 1900"
Alapin’s Opening,Alapin’s Opening,1.e4 e5 2.Ne2 d5 3.exd5 Qxd5 4.N1c3 Qa5 5.d4 Nc6 6.d5 Nb4 7.Bd2 Bf5 8.Rc1 Bxc2 9.Rxc2 Nd3#,"1.e4 e5 2.Ne2 d5 3.exd5 Qxd5 4.N1c3 Qa5 [4…Qc6?! 5.Ng3 g6?? 6.Bb5 Wall - Nimoy, Internet 1997] 5.d4 Nc6 6.d5 Nb4 7.Bd2? [better is 7.Ng3] 7…Bf5 8.Rc1 Bxc2 9.Rxc2 Nd3 mate","Unknown - Canal, Simultaneous Exhibition 1935"
Alapin’s Opening,Alapin’s Opening,1.e4 e5 2.Ne2 Nf6 3.f4 exf4 4.Nxf4 Nxe4 5.Qe2 Qe7 6.Nd5 Qe5 7.N1c3 c6 8.d4 Qf5 9.Nxe4 cxd5 10.Nd6+,1.e4 e5 2.Ne2 Nf6 3.f4 exf4 4.Nxf4 Nxe4 5.Qe2 Qe7 [another idea is 5…Qh4+ 6.g3 Qe7] 6.Nd5 Qe5 7.N1c3 c6 8.d4 Qf5 9.Nxe4 [or 9.Nc7+] wins a piece since 9…cxd5 10.Nd6+ wins the Queen,"Seibot - Luetz, St. Petersburg 1902"
Alapin’s Opening,Alapin’s Opening,1.e4 e5 2.Ne2 Nf6 3.f4 exf4 4.d3 Nc6 5.fxe5 Nc6 6.d4 Qh4+ 7.g3 Qe4 8.Rg1 Nxd4 9.Qxd4 Qxc2 10.Nf4 Qxc1+ 11.Ke2 Nb3 12.axb3 Bc5,"1.e4 e5 2.Ne2 Nf6 3.f4 exf4 4.d3 Nc6 5.fxe5 Nc6 6.d4? [perhaps 6.Bf4] 6…Qh4+ 7.g3 Qe4 8.Rg1 Nxd4! 9.Qxd4 Qxc2 [threatening 9…Nd3+ and 9…Qxc1] 10.Nf4 Qxc1+ 11.Ke2 Nb3! 12.axb3 Bc5, winning the Rook","Mouillaux - Matisson, French Postal 1985"
Alekhine’s Defense,Alekhine’s Defense,1.e4 Nf6 2.Nc3 d6 3.Bc4 Nxe4 4.Bxf7+ Kxf7 5.Nxe4 e5 6.Qf3 Kg8 7.Ng5 Qf6 8.Qb3+,1.e4 Nf6 2.Nc3 d6 (more common is 2…d5) 3.Bc4 Nxe4 (expecting 4.Nxe4 d5) 4.Bxf7+ Kxf7 5.Nxe4 e5 6.Qf3 Kg8?? (Black must play 6…Ke8) 7.Ng5 (threatening 8.Qf7 mate) 7…Qf6 8.Qb3+ and White wins,"Krejcik - Gottlieb, Germany 1922"
Alekhine’s Defense,Alekhine’s Defense,1.e4 Nf6 2.Nc3 d5 3.e5 d4 4.c3 c5 5.d3,"1.e4 Nf6 2.Nc3 (usual us 2.e5 Nd5) 2...d5 3.e5 d4 4.c3 c5?? 5.d3, trapping the Knight","Iskov - Woge-Nielsen, Copenhagen 1989"
Alekhine’s Defense,Alekhine’s Defense,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6 fxe6 5.d4 c5 6.Nf3 Nc6 7.dxc5 Nxc5 8.Bb5 g6 9.Qd4,"1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6!? fxe6 5.d4 c5 6.Nf3 Nc6 7.dxc5 Nxc5 8.Bb5 g6?? [overlooking White’s next move] 9.Qd4, attacking the Rook and Knight and winning a piece","Russ - Zeh, Postal 1974"
Alekhine’s Defense,Alekhine’s Defense,1.e4 Nf6 2.Nc3 d5 3.exd5 Nxd5 4.Bc4 Nb6 5.Bb3 Nc6 6.Nf3 Bg4 7.Bxf7+ Kd7 8.Qe2 e6 9.h3 Bxf3 10.Qxe6#,1.e4 Nf6 2.Nc3 d5 3.exd5 Nxd5 4.Bc4 Nb6 5.Bb3 Nc6 6.Nf3 Bg4? [Black should try 6…e5] 7.Bxf7+! Kd7 [7…Kxf7 8.Ng5+ and 9.Qxg4] 8.Qe2 e6 9.h3 Bxf3?? [perhaps 9…Qe7] 10.Qxe6 mate,"Quinteros - Goossens, 1978"
Alekhine’s Defense,Alekhine’s Defense,1.e4 Nf6 2.Nc3 d5 3.exd5 Nxd5 4.Bc4 Be6 5.Qf3 c6 6.Nge2 g6 7.Nd4 Nxc3 8.Nxe6 fxe6 9.Qxc3 Rg8 10.Bxe6,"1.e4 Nf6 2.Nc3 d5 3.exd5 Nxd5 4.Bc4 Be6?! 5.Qf3 c6 6.Nge2 g6 7.Nd4 Nxc3? [Black should play 7…Bg7 or 7…Qd7] 8.Nxe6 fxe6 9.Qxc3 Rg8 and now White wins with 10.Bxe6 or 10.Qb3 first, then 11.Bxe6","Stock - Rades, Germany 1993"
Alekhine’s Defense,Alekhine’s Defense,1.e4 Nf6 2.e5 Ne4 3.d3 Nc5 4.d4 Ne4 5.Bd3,"1.e4 Nf6 2.e5 Ne4?! (best is 2...Nd5) 3.d3 Nc5 4.d4 Ne4?? 5.Bd3, winning the Knight","Wall - Gaspar1, Internet 1996"
